complete_game,earned_runs,hbp,hits,hits_per_nine,homeruns,hr_per_nine,innings_pitched,left_on_base,pitcher_age,pitchers_used,runs,so_per_nine,so_walk,strikeouts,team,walks,walks_per_nine,whip,year
2,678,50,1438,8.9,202,1.3,1453.0,1076,27.9,26,709,7.2,2.47,1169,BAL,473,2.9,1.315,2013.0
5,613,47,1366,8.5,156,1.0,1454.0,1125,30.2,26,656,8.0,2.47,1294,BOS,524,3.2,1.300,2013.0
3,643,62,1332,8.3,160,1.0,1448.0,1116,28.7,31,689,7.4,2.19,1184,CHC,540,3.4,1.293,2013.0
5,643,60,1424,8.8,182,1.1,1455.0,1126,27.1,24,723,7.7,2.45,1249,CHW,509,3.1,1.329,2013.0
5,554,66,1294,7.9,170,1.0,1473.2,1067,27.7,20,589,7.9,2.98,1296,CIN,435,2.7,1.173,2013.0
3,611,58,1359,8.5,147,0.9,1441.1,1168,27.5,28,662,8.6,2.49,1379,CLE,554,3.5,1.327,2013.0
1,708,40,1545,9.7,136,0.9,1436.0,1180,28.3,23,760,6.7,2.06,1064,COL,517,3.2,1.436,2013.0
3,587,42,1369,8.4,128,0.8,1462.2,1107,28.4,20,624,8.8,3.09,1428,DET,462,2.8,1.252,2013.0
2,766,56,1530,9.6,191,1.2,1440.0,1202,27.2,26,848,6.8,1.76,1084,HOU,616,3.9,1.490,2013.0
5,555,41,1366,8.5,155,1.0,1448.1,1103,28.9,21,601,7.5,2.58,1208,KCR,469,2.9,1.267,2013.0
4,685,45,1475,9.1,167,1.0,1457.2,1188,29.1,26,737,7.4,2.25,1200,LAA,533,3.3,1.378,2013.0
7,524,43,1321,8.2,127,0.8,1450.1,1099,28.1,27,582,8.0,2.81,1292,LAD,460,2.9,1.228,2013.0
2,602,47,1376,8.5,121,0.7,1460.0,1140,26.0,26,646,7.3,2.24,1177,MIA,526,3.2,1.303,2013.0
4,615,43,1401,8.7,175,1.1,1442.2,1085,28.8,21,687,7.0,2.41,1125,MIL,466,2.9,1.294,2013.0
1,733,44,1591,9.9,168,1.0,1450.1,1118,28.3,23,788,6.1,2.15,985,MIN,458,2.8,1.413,2013.0
4,618,54,1442,8.8,152,0.9,1476.2,1135,29.1,29,684,7.4,2.64,1209,NYM,458,2.8,1.287,2013.0
7,633,51,1452,9.0,171,1.1,1447.1,1115,31.8,24,671,7.7,2.82,1233,NYY,437,2.7,1.305,2013.0
6,574,35,1339,8.3,163,1.0,1452.0,1088,28.3,19,625,7.3,2.76,1183,OAK,428,2.7,1.217,2013.0
6,689,62,1465,9.2,152,1.0,1436.1,1155,28.7,27,749,7.5,2.37,1199,PHI,506,3.2,1.372,2013.0
3,533,70,1299,7.9,101,0.6,1470.2,1158,28.7,29,577,7.7,2.45,1261,PIT,515,3.2,1.233,2013.0
3,643,40,1407,8.7,156,1.0,1455.0,1114,28.8,23,700,7.2,2.23,1171,SDP,525,3.2,1.328,2013.0
4,702,42,1467,9.0,174,1.1,1465.0,1108,28.0,22,754,8.0,2.71,1297,SEA,478,2.9,1.328,2013.0
2,643,50,1380,8.6,145,0.9,1447.1,1130,29.6,21,691,7.8,2.41,1256,SFG,521,3.2,1.313,2013.0
7,555,64,1366,8.4,112,0.7,1459.2,1129,26.9,25,596,7.7,2.78,1254,STL,451,2.8,1.245,2013.0
9,608,52,1315,8.1,153,0.9,1464.0,1045,29.0,21,646,8.1,2.72,1310,TBR,482,3.0,1.227,2013.0
4,589,48,1370,8.4,157,1.0,1463.1,1120,27.9,25,636,8.1,2.63,1309,TEX,498,3.1,1.277,2013.0
4,685,65,1451,9.0,195,1.2,1452.0,1138,30.9,31,756,7.5,2.42,1208,TOR,500,3.1,1.344,2013.0
6,576,48,1367,8.5,142,0.9,1445.2,1075,27.7,21,626,7.7,3.05,1236,WSN,405,2.5,1.226,2013.0
2,683,51,1467,9.1,154,1.0,1444.1,1087,28.0,25,742,8.0,2.72,1278,ARI,469,2.9,1.340,2014.0
5,547,37,1369,8.5,121,0.7,1455.0,1125,27.3,20,597,8.0,2.76,1301,ATL,472,2.9,1.265,2014.0
3,557,59,1342,8.3,151,0.9,1461.1,1127,27.7,20,593,7.2,2.49,1174,BAL,472,2.9,1.241,2014.0
3,653,47,1458,9.0,154,0.9,1465.2,1119,29.9,25,715,7.4,2.52,1213,BOS,482,3.0,1.324,2014.0
